model,bootstrap,log_loss,brier,auc,accuracy
LatestRNAMLP,98,0.08360519285550327,0.01662416058460631,1.0,1.0
LatestRNAMLP,99,0.2882159997132243,0.10089532551292132,0.9215686274509804,0.8378378378378378
StaticMultimodalFusion,0,0.20842513288450926,0.07208486777719371,1.0,0.8378378378378378
StaticMultimodalFusion,1,0.39599616750343897,0.10229601320916364,0.9428571428571428,0.8421052631578947
StaticMultimodalFusion,2,0.2694412732832155,0.07126359319405921,0.9658119658119658,0.8857142857142857
StaticMultimodalFusion,3,0.2696920394310631,0.07067289191694394,0.9553571428571429,0.8888888888888888
StaticMultimodalFusion,4,0.35339451844133485,0.10733614554705002,0.9523809523809523,0.7567567567567568
StaticMultimodalFusion,5,0.3696207416945408,0.0836976924552106,0.9428571428571428,0.9117647058823529
StaticMultimodalFusion,6,0.3707159874172368,0.09100201774633218,0.9285714285714286,0.8947368421052632
StaticMultimodalFusion,7,0.3170891452000193,0.0904185500630685,0.9658119658119657,0.8285714285714286
StaticMultimodalFusion,8,0.11038184385597374,0.03079409582326147,1.0,0.9705882352941176
StaticMultimodalFusion,9,0.15549492114002678,0.04721514043687795,1.0,0.9428571428571428
StaticMultimodalFusion,10,0.38588183679993243,0.09335636192643582,0.9300699300699301,0.8571428571428571
StaticMultimodalFusion,11,0.31780165456151066,0.09553445554813199,0.9619047619047619,0.7837837837837838
StaticMultimodalFusion,12,0.08258188873299108,0.021789382471462775,1.0,0.9705882352941176
StaticMultimodalFusion,13,0.227872779036617,0.05609087447685554,0.9642857142857143,0.9444444444444444
StaticMultimodalFusion,14,0.2791817180699788,0.0746770567338221,0.9572649572649573,0.8571428571428571
StaticMultimodalFusion,15,0.2785616057589696,0.07329254036846038,0.9666666666666667,0.8823529411764706
StaticMultimodalFusion,16,0.2577026220535911,0.0708706314788558,0.9821428571428572,0.8611111111111112
StaticMultimodalFusion,17,0.5081461699681286,0.11577141044494955,0.9607843137254902,0.8571428571428571
StaticMultimodalFusion,18,0.27249845449704546,0.06889894835804664,0.9666666666666667,0.8823529411764706
StaticMultimodalFusion,19,0.35713999078584746,0.10630991419304084,0.9428571428571428,0.7837837837837838
StaticMultimodalFusion,20,0.23889727327897303,0.05822240211365473,0.9572649572649573,0.9428571428571428
StaticMultimodalFusion,21,0.37598084401836873,0.09001662143177963,0.958041958041958,0.8857142857142857
StaticMultimodalFusion,22,0.3298496864757789,0.0715661098823573,0.9720279720279721,0.9428571428571428
StaticMultimodalFusion,23,0.2727725290347479,0.07251943668214604,0.9523809523809524,0.918918918918919
StaticMultimodalFusion,24,0.2647773645158881,0.0715473082429906,0.9642857142857143,0.8611111111111112
StaticMultimodalFusion,25,0.23777925466312247,0.06027149635582412,0.9743589743589745,0.9142857142857143
StaticMultimodalFusion,26,0.15501028303785577,0.047325920388867716,1.0,0.9428571428571428
StaticMultimodalFusion,27,0.15674198190865937,0.049596340878235626,1.0,0.9117647058823529
StaticMultimodalFusion,28,0.2943726947476548,0.08097156329923078,0.9642857142857143,0.8611111111111112
StaticMultimodalFusion,29,0.35529538666441335,0.08323449673154854,0.986013986013986,0.8857142857142857
StaticMultimodalFusion,30,0.44813936925576936,0.12058076860885455,0.958041958041958,0.7714285714285715
StaticMultimodalFusion,31,0.35626687154623177,0.08723910545869286,0.958041958041958,0.8648648648648649
StaticMultimodalFusion,32,0.33511582074025875,0.09746775027340648,0.9375,0.8055555555555556
StaticMultimodalFusion,33,0.28047748175643994,0.07286863033210028,0.9487179487179487,0.8857142857142857
StaticMultimodalFusion,34,0.4199981889648365,0.11209838296204688,0.9,0.8421052631578947
StaticMultimodalFusion,35,0.2257861340615222,0.05009213542250118,0.9916666666666666,0.9375
StaticMultimodalFusion,36,0.3024439504135008,0.08490882742083371,0.9523809523809524,0.8648648648648649
StaticMultimodalFusion,37,0.23442684070445347,0.05967743972509452,0.9829059829059829,0.9142857142857143
StaticMultimodalFusion,38,0.20534929386059914,0.07129073520190812,1.0,0.8235294117647058
StaticMultimodalFusion,39,0.5919520533910734,0.12856133295456196,0.95,0.8888888888888888
StaticMultimodalFusion,40,0.3260475113224587,0.07270662053845273,0.9861111111111112,0.9166666666666666
